# Telescope:  LTRT
# Description: 2.4m parabolic C-Band antenna
# Location: Glenorie, NSW, Australia
# Coordinates: 151.008 E, 33.5959 S
# Mode: cal
# Centre frequency:  3700 MHz
# Sample time (ms): 10
# Receiver Gain (dB): 5
# Observation length (s): 7200
# Local Time start:  Sat Feb 23 13:20:43 2013
# UTC start:  Sat Feb 23 02:20:43 2013
# LST start (hh:mm:ss):  22:37:17
# Source: no_lnb
# Declination (degrees): -33.6
1.10024 57.2375
1.10162 57.0175
1.10301 56.99
1.10439 56.8875
1.10578 56.955
1.10717 57.07
1.10856 57.0975
1.10994 57.13
1.11133 57.075
1.11271 57.0925
1.1141 57.025
1.11549 57.145
1.11688 57.0075
1.11826 57.0325
1.11965 57.0975
1.12104 56.98
1.12242 57.33
1.12381 57.2125
1.12519 57.26
1.12658 57.1175
1.12797 57.16
1.12936 57.19
1.13074 57.145
1.13213 57.4425
1.13351 57.2225
1.1349 57.0825
1.13629 57.33
1.13768 57.3775
1.13906 57.315
1.14045 56.99
1.14184 57.22
1.14322 57.035
1.14461 57.1375
1.14599 57.37
1.14738 57.105
1.14877 57.0775
1.15016 57.4475
1.15154 57.1175
1.15293 57.2975
1.15432 57.1675
1.1557 57.2625
1.15709 57.245
1.15848 57.0625
1.15986 57.3325
1.16125 57.395
1.16264 57.1525
1.16402 57.155
1.16541 57.5625
1.16679 57.245
1.16818 57.145
1.16957 57.0225
1.17096 57.08
1.17234 57.3075
1.17373 57.1275
1.17511 57.335
1.1765 57.4975
1.17789 57.155
1.17928 57.3725
1.18066 57.4
1.18205 57.5475
1.18344 57.39
1.18482 57.55
1.18621 57.4125
1.18759 57.675
1.18898 57.5625
1.19037 57.365
1.19176 57.2675
1.19314 57.185
1.19453 57.35
1.19591 57.5575
1.1973 57.2525
1.19869 57.165
1.20008 57.345
1.20146 57.5175
1.20285 57.4375
1.20424 57.685
1.20562 57.07
1.20701 57.3825
1.20839 57.415
1.20978 57.43
1.21117 57.195
1.21256 57.355
1.21394 57.3275
1.21533 57.275
1.21671 57.2725
1.2181 57.355
1.21949 57.3525
1.22088 57.53
1.22226 57.49
1.22365 57.66
1.22504 57.615
1.22642 57.61
1.22781 57.635
1.22919 57.785
1.23058 57.465
1.23197 57.6625
1.23336 57.64
1.23474 57.405
1.23613 57.55
1.23752 57.2525
1.2389 57.5525
1.24029 57.325
1.24168 57.435
1.24306 57.815
1.24445 57.4125
1.24584 57.5625
1.24722 57.66
1.24861 57.4475
1.24999 57.5575
1.25138 57.8575
1.25277 57.2025
1.25416 57.3
1.25554 57.4725
1.25693 57.4025
1.25831 57.535
1.2597 57.6475
1.26109 57.545
1.26248 57.3825
1.26386 57.5725
1.26525 57.3775
1.26664 57.53
1.26802 57.675
1.26941 57.7475
1.27079 57.74
1.27218 57.5075
1.27357 57.6725
1.27496 57.425
1.27634 57.3575
1.27773 57.795
1.27911 57.7825
1.2805 57.5975
1.28189 57.69
1.28328 57.88
1.28466 57.69
1.28605 57.7775
1.28744 57.72
1.28882 57.6325
1.29021 57.7
1.29159 57.53
1.29298 57.755
1.29437 57.7075
1.29576 57.7375
1.29714 57.68
1.29853 57.605
1.29991 57.6575
1.3013 57.5125
1.30269 57.6525
1.30408 57.605
1.30546 57.595
1.30685 57.6525
1.30824 57.515
1.30962 57.5675
1.31101 57.6525
1.31239 57.7025
1.31378 57.525
1.31517 57.4775
1.31656 57.5425
1.31794 57.62
1.31933 57.8775
1.32072 57.785
1.3221 57.67
1.32349 57.6125
1.32487 57.6325
1.32626 57.9175
1.32765 57.825
1.32904 57.6125
1.33042 57.8075
1.33181 57.66
1.33319 57.575
1.33458 57.52
1.33597 57.785
1.33736 57.83
1.33874 57.6625
1.34013 57.9275
1.34151 57.775
1.3429 57.555
1.34429 57.8425
1.34567 57.92
1.34706 57.885
1.34845 57.8625
1.34984 57.68
1.35122 57.4225
1.35261 57.5975
1.35399 57.935
1.35538 57.7675
1.35677 57.905
1.35816 57.6925
1.35954 57.44
1.36093 57.73
1.36231 57.9025
1.3637 57.5875
1.36509 57.825
1.36647 57.69
1.36786 57.9325
1.36925 57.525
1.37064 57.69
1.37202 57.48
1.37341 57.9125
1.37479 57.975
1.37618 57.7875
1.37757 57.6825
1.37896 58.0575
1.38034 57.8925
1.38173 57.8
1.38311 57.795
1.3845 57.6675
1.38589 57.66
1.38727 57.91
1.38866 57.5675
1.39005 57.805
1.39144 57.43
1.39282 57.8225
1.39421 57.8525
1.39559 57.85
1.39698 57.72
1.39837 57.5775
1.39976 57.7875
1.40114 57.79
1.40253 57.8475
1.40392 58
1.4053 57.8475
1.40669 57.5625
1.40807 57.6975
1.40946 57.5675
1.41085 58.06
1.41224 57.8525
1.41362 57.505
1.41501 57.6525
1.41639 57.535
1.41778 57.7275
1.41917 57.8925
1.42056 57.85
1.42194 57.6825
1.42333 57.405
1.42471 57.7175
1.4261 57.6975
1.42749 57.7125
1.42887 57.94
1.43026 57.87
1.43165 57.7575
1.43304 57.7525
1.43442 57.7
1.43581 57.6325
1.43719 57.5825
1.43858 58.035
1.43997 57.7725
1.44136 57.69
1.44274 57.7225
1.44413 57.9975
1.44551 57.93
1.4469 57.6625
1.44829 57.695
1.44967 57.645
1.45106 57.695
1.45245 57.8825
1.45384 57.985
1.45522 57.93
1.45661 57.8525
1.45799 57.9425
1.45938 57.6275
1.46077 57.6775
1.46216 57.9075
1.46354 57.565
1.46493 57.8825
1.46631 58
1.4677 57.7675
1.46909 57.9825
1.47047 57.74
1.47186 57.8425
1.47325 57.88
1.47464 57.5125
1.47602 57.9
1.47741 57.9025
1.47879 57.93
1.48018 57.7075
1.48157 57.97
1.48296 57.755
1.48434 57.69
1.48573 57.945
1.48712 57.8825
1.4885 58.1
1.48989 58.1425
1.49127 57.705
1.49266 57.81
1.49405 57.8725
1.49544 57.6475
1.49682 57.71
1.49821 57.7125
1.49959 57.74
1.50098 58.04
1.50237 57.7425
1.50376 57.9225
1.50514 57.81
1.50653 58.0375
1.50792 57.71
1.5093 57.965
1.51069 57.9325
1.51207 57.5425
1.51346 57.87
1.51485 57.635
1.51624 57.8775
1.51762 57.955
1.51901 57.98
1.52039 57.7425
1.52178 57.645
1.52317 58.055
1.52456 57.8475
1.52594 57.6675
1.52733 58.025
1.52871 57.74
1.5301 58.24
1.53149 57.9525
1.53287 58.01
1.53426 57.8325
1.53565 57.8225
1.53704 57.7575
1.53842 57.8025
1.53981 57.815
1.54119 57.76
1.54258 58.055
1.54397 57.85
1.54536 57.6875
1.54674 57.7625
1.54813 57.925
1.54951 57.7375
1.5509 57.7675
1.55229 57.6725
1.55368 57.8975
1.55506 57.86
1.55645 57.775
1.55784 58.1
1.55922 57.9125
1.56061 57.96
1.56199 58.18
1.56338 57.9525
1.56477 58.1425
1.56616 57.8775
1.56754 58.065
1.56893 57.9275
1.57031 57.8
1.5717 57.9175
1.57309 57.9625
1.57448 57.9125
1.57586 58.025
1.57725 57.8775
1.57864 57.89
1.58002 57.9725
1.58141 57.9775
1.58279 58.035
1.58418 58.0175
1.58557 58.31
1.58696 57.9175
1.58834 58.1225
1.58973 57.99
1.59112 57.9625
1.5925 57.7825
1.59389 58.2325
1.59528 58.0925
1.59666 57.945
1.59805 58.1475
1.59944 58.0125
1.60082 58.2075
1.60221 57.9775
1.60359 57.9725
1.60498 57.81
1.60637 58.03
1.60776 57.64
1.60914 58.1825
1.61053 58.055
1.61191 58.2975
1.6133 58.26
1.61469 58.24
1.61608 58.1375
1.61746 58.21
1.61885 57.72
1.62024 58.3125
1.62162 57.885
1.62301 57.9
1.62439 58.0375
1.62578 58.0325
1.62717 58.04
1.62856 58.0075
1.62994 58.1425
1.63133 58.005
1.63271 58.0825
1.6341 58.03
1.63549 57.86
1.63688 58.1475
1.63826 57.8875
1.63965 57.9125
1.64104 58.01
1.64242 57.975
1.64381 57.9675
1.64519 57.7575
1.64658 58.1525
1.64797 57.94
1.64936 58.0225
1.65074 57.9025
1.65213 57.99
1.65351 58.18
1.6549 57.9975
1.65629 57.8725
1.65768 58.06
1.65906 58.105
1.66045 58.1575
1.66184 58.3625
1.66322 58.1375
1.66461 57.995
1.66599 57.72
1.66738 57.7425
1.66877 58.1125
1.67016 58.575
1.67154 58.3475
1.67293 58.0775
1.67432 57.9375
1.6757 58
1.67709 58.105
1.67848 58.0125
1.67986 57.9325
1.68125 58.0025
